n,o_NearestNeighbor,o_LKFlip,o_LK2Opt,o_ChristophDeschauer,t_NearestNeighbor,t_LKFlip,t_LK2Opt,t_ChristophDeschauer
10.0,2.670654823098335,3.7334921050913965,2.5257446599207958,2.5257446599207958,3.695487976074219e-05,0.0022001266479492188,0.0014889240264892578,0.00010085105895996094
20.0,3.9089601966156344,6.334897942739852,3.707507891238751,4.27815457216739,8.296966552734375e-05,0.020151853561401367,0.02409982681274414,0.0002810955047607422
30.0,4.63423630833116,13.860396776664741,4.55310635076778,4.563243870144016,0.000209808349609375,0.04505801200866699,0.11442089080810547,0.0005049705505371094
40.0,7.452206951855119,15.442162912464392,6.15404499584,6.774994087329631,0.0003998279571533203,0.29398298263549805,0.30086493492126465,0.0008671283721923828
50.0,7.28016468222784,22.359638737167252,6.511023242727842,7.242304890494301,0.0008039474487304688,0.2848381996154785,0.7175250053405762,0.001302957534790039
60.0,9.21622524117389,22.5574720127868,7.278698136404741,8.253374904118921,0.0011069774627685547,1.0832548141479492,1.3934731483459473,0.001802206039428711
70.0,8.954611728379046,27.25875815810478,6.974518890198272,8.148826723437104,0.0017871856689453125,1.6688661575317383,2.952134847640991,0.0024230480194091797
80.0,9.17368599681998,33.33237160170997,7.594542186817692,9.273587854418615,0.0023717880249023438,2.2093398571014404,9.651777029037476,0.003696918487548828
90.0,10.15495499401854,38.248245777150615,8.575207109721445,9.585583808361461,0.0033609867095947266,3.0046792030334473,7.390106678009033,0.004179239273071289
100.0,11.25609351025178,43.48258091866537,8.891682069750543,10.470610713862031,0.004429817199707031,4.262639284133911,11.504143238067627,0.07339096069335938
110.0,11.475068495304683,46.096398262129156,9.526745418523374,11.264464199525342,0.005771636962890625,6.995471000671387,15.217273950576782,0.00584721565246582
120.0,11.46001325841319,50.303315980401145,9.552464659968528,10.540868013662337,0.0073320865631103516,9.660583972930908,24.05286717414856,0.0069429874420166016
130.0,11.613910401818028,51.75924501391108,10.118705500000583,11.297302319439579,0.009123086929321289,13.736999750137329,30.523475885391235,0.007749795913696289
140.0,11.92881371182196,59.732335172290625,10.270565144892828,12.024221784985519,0.011491060256958008,15.572452068328857,42.82552099227905,0.00911402702331543
150.0,12.459191071363525,63.37808224261885,10.235230948749876,11.655012438173419,0.013705968856811523,24.26399517059326,58.3505961894989,0.010671138763427734
160.0,12.512626476617212,68.26589800891419,10.770429717513181,11.720311446710522,0.016390085220336914,20.64095687866211,75.45411896705627,0.011912107467651367
170.0,12.98766143631761,67.54859880898833,11.391269935629277,12.048439636714573,0.01943516731262207,44.087414026260376,92.30941319465637,0.013907909393310547
180.0,13.401946796551321,73.84931971989386,11.535371875812178,13.67318477534591,0.022964000701904297,47.20576095581055,120.53617715835571,0.014963865280151367
190.0,13.582903210776717,77.52566239113955,11.297033397573616,13.300268602359626,0.027009010314941406,68.47676277160645,143.30657482147217,0.016761064529418945
200.0,13.337722777283222,80.00690489636528,11.507659766444604,13.642773865534608,0.03115105628967285,75.84891533851624,183.13878083229065,0.018024206161499023
