n,o_NearestNeighbor_mean,o_NearestNeighbor_std,o_LKFlip_mean,o_LKFlip_std,o_LK2Opt_mean,o_LK2Opt_std,o_ChristophDeschauer_mean,o_ChristophDeschauer_std,t_NearestNeighbor_mean,t_NearestNeighbor_std,t_LKFlip_mean,t_LKFlip_std,t_LK2Opt_mean,t_LK2Opt_std,t_ChristophDeschauer_mean,t_ChristophDeschauer_std
10,3.0404580538613586,0.39156153636945656,4.488590284156779,0.8042422698926238,2.9051975656070836,0.2121105669423468,2.94069618373738,0.33414543225115007,4.4465065002441406e-05,3.570173934097068e-05,0.0019185940424601238,0.0007708287923948766,0.0019491513570149739,0.00043018701533238885,0.00011209646860758464,2.2950772577188336e-05
20,4.657917076627956,0.631607711053994,8.421726974708145,1.4657469234482627,3.9978899806214123,0.23217826274219425,4.767886147054533,0.5288818297017984,8.650620778401692e-05,4.715259451383578e-06,0.011759281158447266,0.0068856697566675,0.019248048464457195,0.002415368687764347,0.00026718775431315106,1.2775370343760598e-05
30,5.429791725053686,0.4839205061379184,13.922468002053272,1.2243073789463725,4.825036658987438,0.22071388887570312,5.847047126569625,0.5921138429378109,0.00020794073740641275,9.398064695600628e-06,0.04317323366800944,0.018034596806432525,0.09514617919921875,0.012362240346391646,0.0005636215209960938,4.151359744736629e-05
40,6.2362773585187385,0.6858695347483683,17.700061046173904,2.753117583344587,5.514888601586013,0.40150918566914884,6.200908225966519,0.4612733458193955,0.00039192040761311847,4.658662159657851e-06,0.15419320265452066,0.09718334862470777,0.2877701123555501,0.013961096593906595,0.0008625984191894531,2.013237502839265e-05
50,7.056559798567122,0.5453305623213461,22.52419555839286,2.1237128475537945,6.170191373904369,0.28555262560194117,6.9952504238552,0.17219227305949947,0.0006842613220214844,2.9394216551632767e-06,0.27885985374450684,0.18108090589044568,0.6951044400533041,0.07133606845016616,0.0012728770573933919,2.717428566740543e-05
60,7.522118221387001,0.8138085486378266,26.448129980829293,2.845084073519505,6.72725722646319,0.2809229613011353,7.611820735273629,0.4193711533214321,0.0011301835378011067,3.741112592873123e-05,0.5198621352513632,0.34544970782580536,1.4540551900863647,0.08931690354846218,0.0017760197321573894,4.860337177738247e-05
70,8.371764021566241,0.602572992883366,29.843626814635076,3.4623966180073653,7.033041830093965,0.0983841226263709,8.1341911406148,0.3294310198375258,0.0016636451085408528,1.0850373974201056e-05,1.1655598084131877,0.6485120974488983,2.6827900409698486,0.14945405961493227,0.002353111902872721,5.7584160804022485e-05
80,8.926653295127027,0.4096653083640106,34.176337798675966,4.7264313013699475,7.443891002469851,0.19569706497438913,8.855211371604844,0.2074948657779309,0.0023818016052246094,2.4094042604327428e-05,1.844975431760152,1.1114907859642928,4.8390616575876875,0.3599437382791027,0.0031979878743489585,0.0001442998235674984
90,9.526328908486542,0.6276679257010497,38.638179413056434,4.498069826771153,8.022408903374782,0.2629331665577399,9.074775993156164,0.5054749462754927,0.003273487091064453,1.1140382900934368e-05,2.802704652150472,1.483291251292348,7.61855153242747,0.3630192206389353,0.004303137461344401,0.0002465762117164236
100,10.036984822523056,0.6730950684978029,42.22585127494752,6.588584639999446,8.414873125140366,0.35162172534856856,9.949253173562342,0.28111702193981325,0.004376848538716634,1.6574474063067113e-05,4.563780506451924,2.8749837380205943,11.761401454607645,0.4005342169827507,0.004834294319152832,6.193283039663239e-05
